Video,Score
15_dalle3_common_voice_en_36411224_audio2head.mp4,1.5
15_dalle3_common_voice_en_36411240_audio2head.mp4,3.1
15_dalle3_common_voice_en_36411274_audio2head.mp4,2.3
15_dalle3_common_voice_en_36411286_audio2head.mp4,3.7
15_dalle3_common_voice_en_36411293_audio2head.mp4,2.3
15_flux_common_voice_en_36411224_audio2head.mp4,0.5
15_flux_common_voice_en_36411240_audio2head.mp4,0.9
15_flux_common_voice_en_36411274_audio2head.mp4,0.9
15_flux_common_voice_en_36411286_audio2head.mp4,0.9
15_flux_common_voice_en_36411293_audio2head.mp4,0.3
15_fooocus_common_voice_en_36411224_audio2head.mp4,4.5
15_fooocus_common_voice_en_36411240_audio2head.mp4,2.6
15_fooocus_common_voice_en_36411274_audio2head.mp4,2.6
15_fooocus_common_voice_en_36411286_audio2head.mp4,3.2
15_fooocus_common_voice_en_36411293_audio2head.mp4,2.6
15_kandinsky_common_voice_en_36411224_audio2head.mp4,0.2
15_kandinsky_common_voice_en_36411240_audio2head.mp4,0.8
15_kandinsky_common_voice_en_36411274_audio2head.mp4,2.5
15_kandinsky_common_voice_en_36411286_audio2head.mp4,1.9
15_kandinsky_common_voice_en_36411293_audio2head.mp4,1.7
15_mid_common_voice_en_36411224_audio2head.mp4,1.2
15_mid_common_voice_en_36411240_audio2head.mp4,2
15_mid_common_voice_en_36411274_audio2head.mp4,3
15_mid_common_voice_en_36411286_audio2head.mp4,1.4
15_mid_common_voice_en_36411293_audio2head.mp4,1.5
15_opendalle11_common_voice_en_36411224_audio2head.mp4,3
15_opendalle11_common_voice_en_36411240_audio2head.mp4,1.2
15_opendalle11_common_voice_en_36411274_audio2head.mp4,2.4
15_opendalle11_common_voice_en_36411286_audio2head.mp4,2.8
15_opendalle11_common_voice_en_36411293_audio2head.mp4,3.2
15_proteus_common_voice_en_36411224_audio2head.mp4,2.5
15_proteus_common_voice_en_36411240_audio2head.mp4,2.3
15_proteus_common_voice_en_36411274_audio2head.mp4,2.5
15_proteus_common_voice_en_36411286_audio2head.mp4,3.4
15_proteus_common_voice_en_36411293_audio2head.mp4,3
15_sd21_common_voice_en_36411224_audio2head.mp4,2.9
15_sd21_common_voice_en_36411240_audio2head.mp4,3
15_sd21_common_voice_en_36411274_audio2head.mp4,3
15_sd21_common_voice_en_36411286_audio2head.mp4,2
15_sd21_common_voice_en_36411293_audio2head.mp4,2.4
15_sd3_common_voice_en_36411224_audio2head.mp4,3
15_sd3_common_voice_en_36411240_audio2head.mp4,3.1
15_sd3_common_voice_en_36411274_audio2head.mp4,3.2
15_sd3_common_voice_en_36411286_audio2head.mp4,2.1
15_sd3_common_voice_en_36411293_audio2head.mp4,2.7
17_dalle3_common_voice_en_36505759_audio2head.mp4,1.5
17_dalle3_common_voice_en_36505760_audio2head.mp4,1.4
17_dalle3_common_voice_en_36505761_audio2head.mp4,2.3
17_dalle3_common_voice_en_36505762_audio2head.mp4,1
17_dalle3_common_voice_en_36505763_audio2head.mp4,2.3
17_flux_common_voice_en_36505759_audio2head.mp4,2.8
17_flux_common_voice_en_36505760_audio2head.mp4,3
17_flux_common_voice_en_36505761_audio2head.mp4,3.5
17_flux_common_voice_en_36505762_audio2head.mp4,2.7
17_flux_common_voice_en_36505763_audio2head.mp4,3.2
17_fooocus_common_voice_en_36505759_audio2head.mp4,2.8
17_fooocus_common_voice_en_36505760_audio2head.mp4,3.2
17_fooocus_common_voice_en_36505761_audio2head.mp4,2.5
17_fooocus_common_voice_en_36505762_audio2head.mp4,3.1
17_fooocus_common_voice_en_36505763_audio2head.mp4,3.5
17_kandinsky_common_voice_en_36505759_audio2head.mp4,2.9
17_kandinsky_common_voice_en_36505760_audio2head.mp4,2.7
17_kandinsky_common_voice_en_36505761_audio2head.mp4,2.1
17_kandinsky_common_voice_en_36505762_audio2head.mp4,3.4
17_kandinsky_common_voice_en_36505763_audio2head.mp4,2.3
17_mid_common_voice_en_36505759_audio2head.mp4,2.4
17_mid_common_voice_en_36505760_audio2head.mp4,2.6
